"IDmouse","ExpGroup","time","TVolume","lab"
"2-Trt-WT24","Trt-WT",0,193,"Lab 2"
"2-Trt-WT24","Trt-WT",3,302,"Lab 2"
"2-Trt-WT24","Trt-WT",6,509,"Lab 2"
"2-Trt-WT24","Trt-WT",9,487,"Lab 2"
"2-Trt-WT24","Trt-WT",12,580,"Lab 2"
"2-Trt-WT24","Trt-WT",15,323,"Lab 2"
"2-Trt-WT25","Trt-WT",0,379,"Lab 2"
"2-Trt-WT25","Trt-WT",3,559,"Lab 2"
"2-Trt-WT25","Trt-WT",6,667,"Lab 2"
"2-Trt-WT26","Trt-WT",0,175,"Lab 2"
"2-Trt-WT26","Trt-WT",3,299,"Lab 2"
"2-Trt-WT26","Trt-WT",6,817,"Lab 2"
"2-Trt-WT26","Trt-WT",9,1937,"Lab 2"
"2-Trt-WT26","Trt-WT",12,1754,"Lab 2"
"2-Trt-WT27","Trt-WT",0,298,"Lab 2"
"2-Trt-WT27","Trt-WT",3,623,"Lab 2"
"2-Trt-WT27","Trt-WT",6,730,"Lab 2"
"2-Trt-WT27","Trt-WT",9,795,"Lab 2"
"2-Trt-WT27","Trt-WT",12,1079,"Lab 2"
"2-Trt-WT27","Trt-WT",15,1636,"Lab 2"
"2-Trt-KO28","Trt-KO",0,355,"Lab 2"
"2-Trt-KO28","Trt-KO",3,625,"Lab 2"
"2-Trt-KO28","Trt-KO",6,1032,"Lab 2"
"2-Trt-KO28","Trt-KO",9,1997,"Lab 2"
"2-Trt-KO28","Trt-KO",12,1785,"Lab 2"
"2-Trt-KO29","Trt-KO",0,403,"Lab 2"
"2-Trt-KO29","Trt-KO",3,851,"Lab 2"
"2-Trt-KO29","Trt-KO",6,1359,"Lab 2"
"2-Ctr-WT3","Ctr-WT",0,392,"Lab 2"
"2-Ctr-WT3","Ctr-WT",3,625,"Lab 2"
"2-Ctr-WT3","Ctr-WT",6,1214,"Lab 2"
"2-Ctr-WT3","Ctr-WT",9,1745,"Lab 2"
"2-Trt-KO30","Trt-KO",0,378,"Lab 2"
"2-Trt-KO30","Trt-KO",3,489,"Lab 2"
"2-Trt-KO30","Trt-KO",6,920,"Lab 2"
"2-Trt-KO30","Trt-KO",9,749,"Lab 2"
"2-Trt-KO30","Trt-KO",12,1192,"Lab 2"
