"IDmouse","ExpGroup","Date","time","TVolume"
"ID-27","Carboplatin",2024-04-15,28,897.137706
"ID-30","Carboplatin",2024-04-15,28,864.9342
"ID-14","Carboplatin",2024-04-15,28,1040.578488
"ID-19","Carboplatin",2024-04-15,28,410.418
"ID-26","Gefitinib",2024-04-15,28,1167.239776
"ID-18","Gefitinib",2024-04-15,28,1134.453537
"ID-20","Carboplatin + Gefitinib",2024-04-15,28,1529.5750575
"ID-24","Carboplatin + Gefitinib",2024-04-15,28,349.6583375
"ID-21","Carboplatin + Gefitinib",2024-04-15,28,48.428928
"ID-11","Carboplatin + Gefitinib",2024-04-15,28,130.442296
"ID-10","Carboplatin + Gefitinib",2024-04-15,28,1478.5059375
"ID-29","Carboplatin + Gefitinib",2024-04-15,28,4
"ID-23","Carboplatin + Gefitinib",2024-04-15,28,66.955392
"ID-1","Carboplatin + Gefitinib",2024-04-15,28,657.292563
"ID-31","Carboplatin + Gefitinib",2024-04-15,28,413.21336
"ID-33","Carboplatin",2024-04-17,30,1265.633149
"ID-27","Carboplatin",2024-04-17,30,1013.221017
"ID-30","Carboplatin",2024-04-17,30,936.6826095
"ID-14","Carboplatin",2024-04-17,30,1396.763316
"ID-19","Carboplatin",2024-04-17,30,454.226192
"ID-26","Gefitinib",2024-04-17,30,1576.3700925
"ID-18","Gefitinib",2024-04-17,30,1375.611392
"ID-20","Carboplatin + Gefitinib",2024-04-17,30,1743.571296
"ID-24","Carboplatin + Gefitinib",2024-04-17,30,392.283648
"ID-21","Carboplatin + Gefitinib",2024-04-17,30,45.867598
"ID-11","Carboplatin + Gefitinib",2024-04-17,30,123.977772
"ID-10","Carboplatin + Gefitinib",2024-04-17,30,1838.5024
"ID-29","Carboplatin + Gefitinib",2024-04-17,30,4
"ID-23","Carboplatin + Gefitinib",2024-04-17,30,74.8268195
"ID-1","Carboplatin + Gefitinib",2024-04-17,30,677.864414
"ID-31","Carboplatin + Gefitinib",2024-04-17,30,483.4697075
